GA,Copy,Script,ExtLink,Label
FALSE,FALSE,4,4.929577465,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,4,88.88888889,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,2,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
TRUE,FALSE,188,0,Phish
TRUE,FALSE,188,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,6,100,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,4,4.929577465,Phish
FALSE,FALSE,2,75,Phish
FALSE,FALSE,4,88.88888889,Phish
FALSE,FALSE,6,0,Phish
FALSE,FALSE,3,96.42857143,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,3,96.42857143,Phish
FALSE,FALSE,3,96.42857143,Phish
FALSE,FALSE,1,85.71428571,Phish
FALSE,FALSE,7,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,4,80,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,4,4.929577465,Phish
FALSE,FALSE,8,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,7,0,Phish
FALSE,FALSE,4,66.66666667,Phish
FALSE,FALSE,5,92.48554913,Phish
FALSE,FALSE,4,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,4,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,100,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,3,0,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,7,0,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,3,100,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,3,100,Phish
FALSE,FALSE,15,100,Phish
FALSE,FALSE,8,0,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,11,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,12,25,Phish
FALSE,FALSE,4,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,80,Phish
FALSE,FALSE,4,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,4,66.66666667,Phish
FALSE,FALSE,4,92.48554913,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,12,25,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,2,25,Phish
FALSE,FALSE,4,88.88888889,Phish
FALSE,FALSE,3,0,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,3,0,Phish
FALSE,TRUE,0,80,Phish
FALSE,FALSE,2,0,Phish
FALSE,FALSE,4,4.929577465,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,0,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,7,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,6,0.4608294931,Phish
FALSE,FALSE,4,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,7,0,Phish
FALSE,TRUE,0,71.42857143,Phish
FALSE,FALSE,1,75,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,3,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,4,80,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,5,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,5,80,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,12,25,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,3,30,Phish
FALSE,FALSE,3,30,Phish
FALSE,FALSE,3,30,Phish
FALSE,FALSE,3,30,Phish
FALSE,FALSE,3,30,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,4,91.4893617,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,FALSE,5,97.72727273,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,5,0,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,4,0,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,TRUE,0,100,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,FALSE,4,80,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,1,0,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,4,80,Phish
FALSE,TRUE,0,100,Phish
FALSE,FALSE,1,75,Phish
FALSE,FALSE,1,75,Phish
FALSE,FALSE,114,100,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,TRUE,0,91.4893617,Phish
